Unique ID,Asset ID (Client),Parent Asset,Address,Level,Sub Location,Asset Category (L1),Asset Category (L2),Asset Category (L3),Asset Category (L4),Item Description,Condition Rating (0-5),Condition Rating Label,Photo 1,Photo 2,Quantity,Unit of Measurement,Width (mm),Depth (mm),Height (mm),Screen Size (inches),Make / Brand,Model,Serial Number,Asset Tag / Label,Colour / Finish,Comments / Recommendations,Unit Rate - RCN ($),Estimated Replacement Cost ($),Remaining Useful Life (%),Indemnity Value ($),Insurance Schedule Category,Effective Life (years),Cost Source
200045,,,,,,Furniture,Desks & Workstations,Height-Adjustable Desk,1400mm,"Electric sit-stand desk, 1400×700mm",,,,,1,ea,1400,700,720,,Ergomotion,MotionDesk 1400,,,White,,950,950,,712.5,Contents,10,"Source: Ergomotion.com.au, approx AUD $949, 2025"
200046,,,,,,Furniture,Desks & Workstations,Height-Adjustable Desk,1500mm / Electric,"Electric sit-stand desk, 1500×750mm",,,,,1,ea,1500,750,720,,Ergomotion,MotionDesk 1500,,,White,,1050,1050,,787.5,Contents,10,"Source: Ergomotion.com.au, approx AUD $1049, 2025"
200047,,,,,,Furniture,Desks & Workstations,Height-Adjustable Desk,1800mm / Electric Dual Motor,"Electric sit-stand desk, 1800×800mm, dual motor",,,,,1,ea,1800,800,720,,Ergomotion,MotionDesk 1800,,,White,,1250,1250,,937.5,Contents,10,"Source: Ergomotion.com.au, approx AUD $1249, 2025"
200048,,,,,,Furniture,Desks & Workstations,Height-Adjustable Desk,1500mm / Manual Crank,"Sit-stand desk 1500×750mm, manual crank",,,,,1,ea,1500,750,720,,Officeworks,Artiss,,,White,,450,450,,337.5,Contents,8,"Source: Officeworks, approx AUD $449, 2025"
200049,,,,,,Furniture,Desks & Workstations,Height-Adjustable Desk,1800mm / Electric Single Motor,"Electric sit-stand, 1800×800mm, memory presets",,,,,1,ea,1800,800,720,,Yaasa,One,,,Matte Black,,1400,1400,,1050,Contents,10,"Source: Yaasa.com, approx AUD $1399, 2025"
200050,,,,,,Furniture,Desks & Workstations,Reception Desk / Counter,Single,"Reception counter, single-sided, laminate",,,,,1,ea,1800,800,1100,,Rapidline,Recept S,,,White,,2200,2200,,1650,Contents,15,"Source: Epic Office Furniture, approx AUD $2199, 2025"
200051,,,,,,Furniture,Desks & Workstations,Reception Desk / Counter,L-shape,"Reception counter, L-shape, laminate",,,,,1,ea,2400,1200,1100,,Rapidline,Recept L,,,White,,3500,3500,,2625,Contents,15,"Source: Fast Office Furniture, approx AUD $3499, 2025"
200052,,,,,,Furniture,Desks & Workstations,Credenza / Desk Return,1200mm,"Desk return / credenza, 1200×500mm, laminate",,,,,1,ea,1200,500,720,,Rapidline,Return 1200,,,White,,280,280,,210,Contents,12,"Source: Officeworks, approx AUD $279, 2025"
200053,,,,,,Furniture,Desks & Workstations,Credenza / Desk Return,1600mm,"Desk return / credenza, 1600×500mm, laminate",,,,,1,ea,1600,500,720,,Rapidline,Return 1600,,,White,,350,350,,262.5,Contents,12,"Source: Winc, approx AUD $349, 2025"
200054,,,,,,Furniture,Desks & Workstations,Bench Workstation,2-person,"2-person bench workstation, 2400×800mm",,,,,1,ea,2400,800,720,,Rapidline,Bench 2P,,,White,,900,900,,675,Contents,12,"Source: Fast Office Furniture, approx AUD $899, 2025"
200055,,,,,,Furniture,Desks & Workstations,Bench Workstation,4-person,"4-person bench workstation, 4800×1600mm",,,,,1,ea,4800,1600,720,,Rapidline,Bench 4P,,,White,,1800,1800,,1350,Contents,12,"Source: Epic Office Furniture, approx AUD $1799, 2025"
200056,,,,,,Furniture,Tables,Meeting Table,1800mm 6-person,"Rectangular meeting table, 1800×900mm",,,,,1,ea,1800,900,720,,Rapidline,MTable 1800,,,White,,700,700,,525,Contents,15,"Source: Officeworks, approx AUD $699, 2025"
200057,,,,,,Furniture,Tables,Meeting Table,2100mm 8-person,"Rectangular meeting table, 2100×1000mm",,,,,1,ea,2100,1000,720,,Rapidline,MTable 2100,,,White,,900,900,,675,Contents,15,"Source: Fast Office Furniture, approx AUD $899, 2025"
200058,,,,,,Furniture,Tables,Meeting Table,2400mm 10-person,"Rectangular meeting table, 2400×1000mm",,,,,1,ea,2400,1000,730,,Rapidline,MTable 2400,,,White,,1100,1100,,825,Contents,15,"Source: Epic Office Furniture, approx AUD $1099, 2025"
200059,,,,,,Furniture,Tables,Meeting Table,1800mm round,"Round meeting table, 1800mm dia, laminate",,,,,1,ea,1800,1800,720,,Rapidline,MTable Rd 1800,,,White,,900,900,,675,Contents,15,"Source: Epic Office Furniture, approx AUD $899, 2025"
200060,,,,,,Furniture,Tables,Boardroom Table,3000mm 12-person,"Boardroom table, 3000×1200mm, veneer, cable tray",,,,,1,ea,3000,1200,750,,Arteil,Board 3000,,,Walnut Veneer,,3500,3500,,2625,Contents,20,"Source: Epic Office Furniture, approx AUD $3499, 2025"
200061,,,,,,Furniture,Tables,Boardroom Table,4200mm 16-person,"Boardroom table, 4200×1200mm, veneer, cable management",,,,,1,ea,4200,1200,750,,Arteil,Board 4200,,,Walnut Veneer,,6000,6000,,4500,Contents,20,"Source: Epic Office Furniture, approx AUD $5999, 2025"
200062,,,,,,Furniture,Tables,Boardroom Table,3600mm 14-person,"Boardroom table, 3600×1200mm, laminate, power module",,,,,1,ea,3600,1200,750,,Rapidline,Board 3600,,,Black,,4500,4500,,3375,Contents,20,"Source: Fast Office Furniture, approx AUD $4499, 2025"
200063,,,,,,Furniture,Tables,Training Table,1200mm,"Folding training table, 1200×600mm, laminate",,,,,1,ea,1200,600,730,,Rapidline,Train 1200,,,White,,280,280,,210,Contents,10,"Source: Officeworks, approx AUD $279, 2025"
200064,,,,,,Furniture,Tables,Training Table,1500mm,"Folding training table, 1500×750mm, laminate",,,,,1,ea,1500,750,730,,Rapidline,Train 1500,,,White,,350,350,,262.5,Contents,10,"Source: Winc, approx AUD $349, 2025"
200065,,,,,,Furniture,Tables,Café / Bar Table,Round 700mm,"Café table, round 700mm dia, chrome leg",,,,,1,ea,700,700,730,,Generic,Cafe Rnd 700,,,White,,280,280,,210,Contents,10,"Source: Officeworks, approx AUD $279, 2025"
200066,,,,,,Furniture,Tables,Café / Bar Table,Square 700mm,"Café table, square 700×700mm, timber top",,,,,1,ea,700,700,730,,Generic,Cafe Sq 700,,,Natural Timber,,320,320,,240,Contents,10,"Source: Officeworks, approx AUD $319, 2025"
200067,,,,,,Furniture,Tables,Café / Bar Table,Round 600mm poseur,"Poseur/bar table, round 600mm, chrome",,,,,1,ea,600,600,1050,,Generic,Poseur 600,,,White,,350,350,,262.5,Contents,10,"Source: Fast Office Furniture, approx AUD $349, 2025"
200068,,,,,,Furniture,Tables,Coffee Table,Rectangular,"Rectangular coffee table, 1200×600mm, veneer",,,,,1,ea,1200,600,450,,Arteil,Coffee Rect,,,Walnut Veneer,,500,500,,375,Contents,12,"Source: Epic Office Furniture, approx AUD $499, 2025"
200069,,,,,,Furniture,Tables,Coffee Table,Round,"Round coffee table, 800mm dia, glass top",,,,,1,ea,800,800,450,,Generic,Coffee Rnd 800,,,Black Frame / Glass,,400,400,,300,Contents,10,"Source: Freedom Furniture, approx AUD $399, 2025"
200070,,,,,,Furniture,Tables,Side Table,--,"Side table, 500×500mm, laminate",,,,,1,ea,500,500,550,,Generic,Side 500,,,White,,180,180,,135,Contents,10,"Source: Officeworks, approx AUD $179, 2025"
200071,,,,,,Furniture,Tables,Height-Adjustable Table,--,"Height-adjustable meeting table, 1600×800mm, electric",,,,,1,ea,1600,800,750,,Ergomotion,SitStand Meeting,,,White,,1600,1600,,1200,Contents,10,"Source: Ergomotion.com.au, approx AUD $1599, 2025"
200072,,,,,,Furniture,Tables,Dining Table,6-person,"Dining table, 1600×900mm, canteen/breakout",,,,,1,ea,1600,900,740,,Generic,Dine 1600,,,Natural Timber,,600,600,,450,Contents,12,"Source: Officeworks, approx AUD $599, 2025"
200073,,,,,,Furniture,Storage & Filing,Filing Cabinet (Lateral),2-drawer / 900mm W,"Lateral filing cabinet, 2-drawer, 900mm W",,,,,1,ea,900,470,700,,Steelco,LFC2 900,,,White,,550,550,,412.5,Contents,20,"Source: Winc, approx AUD $549, 2025"
200074,,,,,,Furniture,Storage & Filing,Filing Cabinet (Lateral),3-drawer,"Lateral filing cabinet, 3-drawer, 900mm W",,,,,1,ea,900,470,1050,,Steelco,LFC3 900,,,White,,700,700,,525,Contents,20,"Source: Winc, approx AUD $699, 2025"
200075,,,,,,Furniture,Storage & Filing,Filing Cabinet (Lateral),4-drawer,"Lateral filing cabinet, 4-drawer, 900mm W",,,,,1,ea,900,470,1375,,Steelco,LFC4 900,,,White,,850,850,,637.5,Contents,20,"Source: Winc, approx AUD $849, 2025"
200076,,,,,,Furniture,Storage & Filing,Filing Cabinet (Lateral),2-drawer / 1200mm W,"Lateral filing cabinet, 2-drawer, 1200mm W",,,,,1,ea,1200,470,700,,Steelco,LFC2 1200,,,White,,700,700,,525,Contents,20,"Source: Winc, approx AUD $699, 2025"
200077,,,,,,Furniture,Storage & Filing,Filing Cabinet (Pedestal),3-drawer / Mobile,"Mobile pedestal, 3-drawer (2 box + 1 file)",,,,,1,ea,465,500,710,,Steelco,Ped3,,,White,,380,380,,285,Contents,15,"Source: Officeworks, approx AUD $379, 2025"
200078,,,,,,Furniture,Storage & Filing,Filing Cabinet (Pedestal),3-drawer / Fixed,"Fixed pedestal, 3-drawer, lockable",,,,,1,ea,465,500,710,,Steelco,FPed3,,,White,,350,350,,262.5,Contents,15,"Source: Winc, approx AUD $349, 2025"
200079,,,,,,Furniture,Storage & Filing,Filing Cabinet (Vertical),4-drawer,"Vertical filing cabinet, 4-drawer, A4",,,,,1,ea,470,620,1320,,Steelco,VFC4,,,White,,480,480,,360,Contents,20,"Source: Winc, approx AUD $479, 2025"
200080,,,,,,Furniture,Storage & Filing,Bookcase / Shelf Unit,900mm W 3-shelf,"Open bookcase, 900×300×900mm, 3-shelf",,,,,1,ea,900,300,900,,Rapidline,Book 900,,,White,,220,220,,165,Contents,15,"Source: Officeworks, approx AUD $219, 2025"
200081,,,,,,Furniture,Storage & Filing,Bookcase / Shelf Unit,900mm W 5-shelf,"Open bookcase, 900×300×1800mm, 5-shelf",,,,,1,ea,900,300,1800,,Rapidline,Book 900H,,,White,,350,350,,262.5,Contents,15,"Source: Officeworks, approx AUD $349, 2025"
200082,,,,,,Furniture,Storage & Filing,Bookcase / Shelf Unit,1200mm W 5-shelf,"Open bookcase, 1200×300×1800mm, 5-shelf",,,,,1,ea,1200,300,1800,,Rapidline,Book 1200H,,,White,,420,420,,315,Contents,15,"Source: Winc, approx AUD $419, 2025"
200083,,,,,,Furniture,Storage & Filing,Bookcase / Shelf Unit,900mm W 3-shelf glass doors,"Bookcase with glass doors, 900×400×1800mm",,,,,1,ea,900,400,1800,,Arteil,GlassBook 900,,,White,,650,650,,487.5,Contents,15,"Source: Epic Office Furniture, approx AUD $649, 2025"
200084,,,,,,Furniture,Storage & Filing,Storage Cabinet,900mm W full height,"Full-height storage cabinet with lock, 900mm W",,,,,1,ea,900,470,1830,,Steelco,SC900H,,,White,,750,750,,562.5,Contents,20,"Source: Winc, approx AUD $749, 2025"
200085,,,,,,Furniture,Storage & Filing,Storage Cabinet,1200mm W full height,"Full-height storage cabinet with lock, 1200mm W",,,,,1,ea,1200,470,1830,,Steelco,SC1200H,,,White,,900,900,,675,Contents,20,"Source: Winc, approx AUD $899, 2025"
200086,,,,,,Furniture,Storage & Filing,Storage Cabinet,900mm W half height,"Half-height storage cabinet with lock, 900mm W",,,,,1,ea,900,470,1000,,Steelco,SC900L,,,White,,550,550,,412.5,Contents,20,"Source: Winc, approx AUD $549, 2025"
200087,,,,,,Furniture,Storage & Filing,Credenza / Buffet,1600mm,"Credenza 1600×450mm, laminate, lockable",,,,,1,ea,1600,450,730,,Arteil,Cred 1600,,,White,,900,900,,675,Contents,15,"Source: Epic Office Furniture, approx AUD $899, 2025"
200088,,,,,,Furniture,Storage & Filing,Credenza / Buffet,1800mm,"Credenza 1800×450mm, veneer, lockable",,,,,1,ea,1800,450,730,,Arteil,Cred 1800,,,Walnut Veneer,,1200,1200,,900,Contents,15,"Source: Epic Office Furniture, approx AUD $1199, 2025"
200089,,,,,,Furniture,Storage & Filing,Locker,Single-door,"Single-door locker, 300×450×1830mm, key lock",,,,,1,ea,300,450,1830,,Steelco,Lok1,,,Grey,,220,220,,165,Contents,20,"Source: Winc, approx AUD $219, 2025"
200090,,,,,,Furniture,Storage & Filing,Locker,Double-door,"Double-door locker, 300×450×1830mm, key lock",,,,,1,ea,300,450,1830,,Steelco,Lok2,,,Grey,,280,280,,210,Contents,20,"Source: Winc, approx AUD $279, 2025"
200091,,,,,,Furniture,Storage & Filing,Locker,4-door,"4-door locker, 300×450×1830mm",,,,,1,ea,300,450,1830,,Steelco,Lok4,,,Grey,,380,380,,285,Contents,20,"Source: Winc, approx AUD $379, 2025"
200092,,,,,,Furniture,Storage & Filing,Tambour Unit,1600mm,"Tambour unit/tambour door credenza, 1600mm",,,,,1,ea,1600,470,730,,Rapidline,Tambour 1600,,,White,,950,950,,712.5,Contents,15,"Source: Winc, approx AUD $949, 2025"
200093,,,,,,Furniture,Storage & Filing,Compactus / Mobile Shelving,6-bay,"Mobile shelving compactus, 6-bay, 2400H",,,,,1,ea,3600,900,2400,,Spacerak,Compactus 6B,,,Grey,,8000,8000,,6000,Contents,25,"Source: Storage Systems Australia, approx AUD $7999, 2025"
200094,,,,,,Furniture,Storage & Filing,Plan Chest,A0 5-drawer,"Plan chest, A0 format, 5-drawer, metal",,,,,1,ea,1280,940,940,,Esselte,PlanChest A0,,,Grey,,1500,1500,,1125,Contents,20,"Source: Winc, approx AUD $1499, 2025"
200095,,,,,,Furniture,Screens & Partitions,Acoustic Screen,1200×1200mm,"Freestanding acoustic screen, 1200×1200mm, fabric",,,,,1,ea,1200,50,1200,,Rapidline,AcScreen 1200,,,Charcoal Fabric,,380,380,,285,Contents,10,"Source: Winc, approx AUD $379, 2025"
200096,,,,,,Furniture,Screens & Partitions,Acoustic Screen,1200×1500mm,"Freestanding acoustic screen, 1200×1500mm",,,,,1,ea,1200,50,1500,,Rapidline,AcScreen 1500,,,Charcoal Fabric,,450,450,,337.5,Contents,10,"Source: Winc, approx AUD $449, 2025"
200097,,,,,,Furniture,Screens & Partitions,Acoustic Screen,1500×1800mm,"Freestanding acoustic screen, 1500×1800mm",,,,,1,ea,1500,50,1800,,Rapidline,AcScreen 1800,,,Charcoal Fabric,,550,550,,412.5,Contents,10,"Source: Epic Office Furniture, approx AUD $549, 2025"
200098,,,,,,Furniture,Screens & Partitions,Acoustic Screen,Desk divider,"Desk-mount acoustic divider, 1200×400mm",,,,,1,ea,1200,30,400,,Rapidline,DeskDiv,,,Charcoal Fabric,,180,180,,135,Contents,8,"Source: Officeworks, approx AUD $179, 2025"
200099,,,,,,Furniture,Screens & Partitions,Whiteboard,1200×900mm,"Magnetic whiteboard 1200×900mm, aluminium frame",,,,,1,ea,1200,20,900,,Visionchart,WB1209,,,White,,200,200,,150,Contents,10,"Source: Officeworks, approx AUD $199, 2025"
200100,,,,,,Furniture,Screens & Partitions,Whiteboard,1800×900mm,"Magnetic whiteboard 1800×900mm, aluminium frame",,,,,1,ea,1800,20,900,,Visionchart,WB1809,,,White,,320,320,,240,Contents,10,"Source: Officeworks, approx AUD $319, 2025"
200101,,,,,,Furniture,Screens & Partitions,Whiteboard,2400×1200mm,"Magnetic whiteboard 2400×1200mm, aluminium frame",,,,,1,ea,2400,20,1200,,Visionchart,WB2412,,,White,,500,500,,375,Contents,10,"Source: Winc, approx AUD $499, 2025"
